Gurobi Result Sheet		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
																
Cutting planes																
  Gomory																
  Cover																
  Implied bound																
  Clique																
  MIR																
  StrongCG																
  Flow cover																
  Zero half																
  RLT																
  Relax-and-lift																
																
Explored Nodes																
Seconds																
																
																
Solved ?																
																
